epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.4337,1.80519,3.63979,1.45088,0.00333,1,0.77324,0.26132,1.29148,3.39639,1.12677,0.0003,0.0003,0.0003
2,10.5809,1.33979,1.93572,1.03942,0.00333,1,0.89561,0.38425,1.44143,3.53539,1.17614,0.000613862,0.000613862,0.000613862
3,13.6314,1.28437,1.66094,1.05106,0.00333,1,0.43001,0.15065,1.4864,3.54365,1.17319,0.000921388,0.000921388,0.000921388
4,15.978,1.27362,1.50981,1.09793,1,0.50343,0.98382,0.56173,1.39503,2.97346,1.10103,0.00122258,0.00122258,0.00122258
5,18.2815,1.29445,1.42264,1.08739,1,0.5315,0.93096,0.4627,1.57319,2.82499,1.12836,0.00151743,0.00151743,0.00151743
6,20.525,1.31477,1.35151,1.12089,0.99288,0.98361,0.98506,0.54604,1.44821,1.62218,1.18891,0.00180595,0.00180595,0.00180595
7,22.7298,1.24978,1.25414,1.08631,0.88805,0.95082,0.92299,0.45323,1.60342,1.48866,1.57633,0.0018812,0.0018812,0.0018812
8,24.994,1.20987,1.22041,1.09047,0.95079,0.95017,0.97923,0.55825,1.38412,1.43901,1.2308,0.0018614,0.0018614,0.0018614
9,27.2357,1.20068,1.13459,1.07967,0.9978,0.98361,0.98502,0.65249,1.22258,1.05863,1.03733,0.0018416,0.0018416,0.0018416
10,29.4444,1.1164,1.0606,1.02774,0.99762,0.98361,0.98502,0.64475,1.12625,0.91286,1.02942,0.0018218,0.0018218,0.0018218
11,31.6578,1.16088,0.98151,1.01336,0.99805,0.98361,0.98507,0.61227,1.2086,0.84396,1.06507,0.001802,0.001802,0.001802
12,33.8601,1.12494,0.94424,1.00836,0.96478,0.98361,0.98421,0.58036,1.28438,0.93128,1.05142,0.0017822,0.0017822,0.0017822
13,36.0718,1.15226,0.93096,1.01481,0.99393,0.98361,0.98502,0.65975,1.13075,0.83853,1.02631,0.0017624,0.0017624,0.0017624
14,38.2653,1.12541,0.87651,1.02805,0.99822,0.98361,0.98502,0.65381,1.1257,0.91069,0.98586,0.0017426,0.0017426,0.0017426
15,40.4666,1.15078,0.86755,1.04557,0.99613,0.98361,0.98503,0.65392,1.16563,0.81741,1.04044,0.0017228,0.0017228,0.0017228
16,42.6696,1.17461,0.85962,1.05689,0.99543,0.98361,0.98503,0.62581,1.16404,0.77272,1.00064,0.001703,0.001703,0.001703
17,44.879,1.10056,0.85715,1.01266,0.98813,0.98361,0.98503,0.64937,1.16689,0.72386,1.10056,0.0016832,0.0016832,0.0016832
18,47.0909,1.16957,0.82658,1.00922,0.99491,0.98361,0.98503,0.71029,1.07155,0.62364,0.97211,0.0016634,0.0016634,0.0016634
19,49.3445,1.09894,0.77273,0.99208,0.99732,0.98361,0.98502,0.72018,1.05186,0.59116,0.9844,0.0016436,0.0016436,0.0016436
20,51.5662,1.02168,0.7224,0.99734,0.99284,0.98361,0.98502,0.69928,1.0747,0.5706,0.98356,0.0016238,0.0016238,0.0016238
21,53.8518,1.07151,0.71091,0.99827,0.99722,0.98361,0.98503,0.68755,1.10946,0.6398,0.9762,0.001604,0.001604,0.001604
22,56.0561,1.03541,0.71412,0.99046,0.99834,0.98361,0.98503,0.7155,1.09354,0.6027,0.98207,0.0015842,0.0015842,0.0015842
23,58.2455,1.06787,0.72147,0.97411,0.99473,0.98361,0.98504,0.56217,1.32763,0.79549,1.01704,0.0015644,0.0015644,0.0015644
24,60.4378,1.03612,0.71258,0.972,0.99997,0.98361,0.98505,0.63994,1.13589,0.64712,0.95717,0.0015446,0.0015446,0.0015446
25,62.6259,1.01017,0.68386,0.96696,0.99815,0.98361,0.98507,0.70468,1.07397,0.62921,0.98109,0.0015248,0.0015248,0.0015248
26,64.8364,1.04694,0.69116,0.96752,0.99836,0.98361,0.98514,0.69477,1.0721,0.5835,0.98601,0.001505,0.001505,0.001505
27,67.0318,1.04105,0.66388,0.98021,0.99752,0.98361,0.98553,0.71571,1.0496,0.62215,1.03075,0.0014852,0.0014852,0.0014852
28,69.1948,1.04051,0.69604,0.98727,0.9968,0.98361,0.98581,0.66932,1.14598,0.59999,0.98591,0.0014654,0.0014654,0.0014654
29,71.3753,1.0463,0.6887,0.98687,0.99841,0.98361,0.98639,0.62519,1.2871,0.57351,0.98617,0.0014456,0.0014456,0.0014456
30,73.5579,1.08234,0.66293,0.97807,0.99716,0.98361,0.98642,0.63688,1.16458,0.64365,0.98335,0.0014258,0.0014258,0.0014258
31,75.7568,1.00583,0.64289,0.97903,0.99842,0.98361,0.98751,0.73729,0.95076,0.54104,0.91706,0.001406,0.001406,0.001406
32,77.9746,0.98151,0.61785,0.95718,0.99666,0.98361,0.98682,0.6938,1.05597,0.5927,0.94203,0.0013862,0.0013862,0.0013862
33,80.1547,0.98794,0.67888,0.95369,0.99838,0.98361,0.98673,0.6413,1.187,0.60709,0.99405,0.0013664,0.0013664,0.0013664
34,82.3333,1.02791,0.63888,0.98986,0.99813,0.98361,0.98639,0.72362,0.96253,0.54647,0.92291,0.0013466,0.0013466,0.0013466
35,84.5129,0.98835,0.60716,0.96926,0.99816,0.98361,0.98767,0.75658,0.91425,0.50514,0.90738,0.0013268,0.0013268,0.0013268
36,86.7041,0.96095,0.58901,0.9464,0.99804,0.98361,0.98727,0.73973,0.93773,0.51424,0.87635,0.001307,0.001307,0.001307
37,88.8957,0.99598,0.59322,0.96197,0.99672,0.98361,0.98732,0.67611,1.08245,0.55007,0.93119,0.0012872,0.0012872,0.0012872
38,91.0833,0.99881,0.60383,0.96787,0.99593,0.98361,0.98751,0.70963,1.01687,0.5513,0.96098,0.0012674,0.0012674,0.0012674
39,93.2504,1.062,0.6013,0.98136,0.98339,0.98361,0.98839,0.71007,1.01824,0.55027,0.93653,0.0012476,0.0012476,0.0012476
40,95.4504,1.03943,0.6136,0.96546,0.98887,0.98361,0.98816,0.74943,0.99972,0.5612,0.91034,0.0012278,0.0012278,0.0012278
41,97.6084,0.94866,0.58403,0.95611,0.99502,0.98361,0.98836,0.73554,0.95151,0.48502,0.89639,0.001208,0.001208,0.001208
42,99.8111,0.9325,0.5509,0.93798,0.99692,0.98361,0.98668,0.70215,1.09399,0.54812,0.95371,0.0011882,0.0011882,0.0011882
43,101.992,0.98707,0.60617,0.95652,0.99508,0.98361,0.98738,0.7579,0.91682,0.52424,0.91036,0.0011684,0.0011684,0.0011684
44,104.184,1.0001,0.58142,0.97673,0.99622,0.98361,0.98775,0.7057,0.99083,0.52729,0.90291,0.0011486,0.0011486,0.0011486
45,106.369,1.00963,0.59118,0.95684,0.99755,0.98361,0.98802,0.71613,0.93247,0.55286,0.90405,0.0011288,0.0011288,0.0011288
46,108.56,0.95031,0.57674,0.94955,0.99775,0.98361,0.98726,0.73228,0.93678,0.52122,0.89488,0.001109,0.001109,0.001109
47,110.738,0.99639,0.55691,0.94498,0.99874,0.98361,0.98889,0.7584,0.97934,0.53379,0.92485,0.0010892,0.0010892,0.0010892
48,112.92,0.96968,0.58224,0.96395,0.998,0.98361,0.98713,0.72878,0.97658,0.53368,0.94682,0.0010694,0.0010694,0.0010694
49,115.092,0.96519,0.56904,0.9685,0.99676,0.98361,0.9872,0.75621,0.91225,0.47945,0.88088,0.0010496,0.0010496,0.0010496
